ORDINE_CODICE_ATECO_2025,CODICE_ATECO_2025,TITOLO_ITALIANO_ATECO_2025,TITOLO_INGLESE_ATECO_2025,TITOLO_TEDESCO_ATECO_2025,GERARCHIA_ATECO_2025,CODICE_PADRE_ATECO_2025,GERARCHIA_PADRE_ATECO_2025
1,A,"AGRICOLTURA, SILVICOLTURA E PESCA","AGRICULTURE, FORESTRY AND FISHING","LAND- UND FORSTWIRTSCHAFT, FISCHEREI",1,,
2,01,"Produzioni vegetali e animali, caccia e servizi connessi","Crop and animal production, hunting and related service activities","Landwirtschaft, Jagd und damit verbundene Tätigkeiten",2,A,1
3,01.1,Coltivazione di colture agricole non permanenti,Growing of non-perennial crops,Anbau ein- und zweijähriger Pflanzen,3,01,2
4,01.11,"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Growing of cereals, other than rice, leguminous crops and oil seeds",Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten,4,01.1,3
5,01.11.0,"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Growing of cereals, other than rice, leguminous crops and oil seeds",Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten,5,01.11,4
6,01.11.00,"Coltivazione di cereali, legumi da granella e semi oleosi, escluso il riso","Growing of cereals, other than rice, leguminous crops and oil seeds",Anbau von anderem Getreide als Reis sowie von Hülsenfrüchten und Ölsaaten,6,01.11.0,5
7,01.12,Coltivazione di riso,Growing of rice,Anbau von Reis,4,01.1,3
8,01.12.0,Coltivazione di riso,Growing of rice,Anbau von Reis,5,01.12,4
9,01.12.00,Coltivazione di riso,Growing of rice,Anbau von Reis,6,01.12.0,5
10,01.13,"Coltivazione di ortaggi e meloni, radici e tuberi","Growing of vegetables and melons, roots and tubers",Anbau von Gemüse und Melonen sowie Wurzeln und Knollen,4,01.1,3
11,01.13.1,Coltivazione di ortaggi e meloni,Growing of vegetables and melons,Anbau von Gemüse und Melonen,5,01.13,4
12,01.13.11,Coltivazione di ortaggi e meloni in piena aria,Growing of vegetables and melons in open fields,Freilandanbau von Gemüse und Melonen,6,01.13.1,5
13,01.13.12,Coltivazione di ortaggi e meloni in colture protette fuori suolo,Growing of vegetables and melons in greenhouses as soil-less culture,Geschützter erdeloser Anbau von Gemüse und Melonen,6,01.13.1,5
14,01.13.13,"Coltivazione di ortaggi e meloni in altre colture protette, escluse colture fuori suolo","Growing of vegetables and melons in greenhouses, other than soil-less culture","Geschützter Anbau von Gemüse und Melonen, ausgenommen erdeloser Anbau",6,01.13.1,5
15,01.13.2,"Coltivazione di radici, incluse barbabietole da zucchero","Growing of roots, including sugar beet","Anbau von Wurzeln, einschließlich Zuckerrüben",5,01.13,4
16,01.13.20,"Coltivazione di radici, incluse barbabietole da zucchero","Growing of roots, including sugar beet","Anbau von Wurzeln, einschließlich Zuckerrüben",6,01.13.2,5
17,01.13.3,"Coltivazione di tuberi, incluse patate","Growing of tubers, including potatoes","Anbau von Knollen, einschließlich Kartoffeln",5,01.13,4
18,01.13.30,"Coltivazione di tuberi, incluse patate","Growing of tubers, including potatoes","Anbau von Knollen, einschließlich Kartoffeln",6,01.13.3,5
