Giorno gas,Prezzo medio ponderato,Volumi,,,,
01/10/2011,,,,,,
02/10/2011,,,,,,
03/10/2011,,,,,,
04/10/2011,,,,,,
05/10/2011,,,,,,
06/10/2011,,,,,,
07/10/2011,31.8,"1,080",,,,
08/10/2011,30,"1,080",,,,
09/10/2011,,,,,,
10/10/2011,,,,,,
11/10/2011,,,,,,
12/10/2011,,,,,,
13/10/2011,,,,,,
14/10/2011,,,,,,
15/10/2011,,,,,,
16/10/2011,,,,,,
17/10/2011,,,,,,
18/10/2011,,,,,,
19/10/2011,,,,,,
20/10/2011,,,,,,
21/10/2011,,,,,,
22/10/2011,31.4,720,,,,
23/10/2011,31.4,720,,,,
24/10/2011,,,,,,
25/10/2011,,,,,,
26/10/2011,,,,,,
27/10/2011,,,,,,
28/10/2011,,,,,,
29/10/2011,,,,,,
30/10/2011,,,,,,
31/10/2011,,,,,,
01/11/2011,,,,,,
02/11/2011,,,,,,
03/11/2011,,,,,,
04/11/2011,,,,,,
05/11/2011,,,,,,
06/11/2011,,,,,,
07/11/2011,,,,,,
08/11/2011,,,,,,
09/11/2011,,,,,,
10/11/2011,,,,,,
11/11/2011,,,,,,
12/11/2011,,,,,,
13/11/2011,,,,,,
14/11/2011,,,,,,
15/11/2011,,,,,,
16/11/2011,,,,,,
17/11/2011,,,,,,
18/11/2011,,,,,,
19/11/2011,,,,,,
20/11/2011,,,,,,
21/11/2011,32.2,"2,160",,,,
22/11/2011,,,,,,
23/11/2011,32.6,720,,,,
24/11/2011,32.6,720,,,,
25/11/2011,,,,,,
26/11/2011,,,,,,
27/11/2011,,,,,,
28/11/2011,,,,,,
29/11/2011,,,,,,
30/11/2011,33.05,"1,440",,,,
01/12/2011,33.221,"3,196",,,,
02/12/2011,33.657,"2,853",,,,
03/12/2011,,,,,,
04/12/2011,34,561,,,,
05/12/2011,,,,,,
06/12/2011,,,,,,
07/12/2011,,,,,,
08/12/2011,,,,,,
09/12/2011,,,,,,
10/12/2011,,,,,,
11/12/2011,,,,,,
12/12/2011,,,,,,
13/12/2011,,,,,,
14/12/2011,,,,,,
15/12/2011,,,,,,
16/12/2011,,,,,,
17/12/2011,,,,,,
18/12/2011,,,,,,
19/12/2011,,,,,,
20/12/2011,,,,,,
21/12/2011,,,,,,
22/12/2011,,,,,,
23/12/2011,,,,,,
24/12/2011,,,,,,
25/12/2011,,,,,,
26/12/2011,,,,,,
27/12/2011,,,,,,
28/12/2011,,,,,,
29/12/2011,,,,,,
30/12/2011,,,,,,
31/12/2011,,,,,,
01/01/2012,,,,,,
02/01/2012,,,,,,
03/01/2012,,,,,,
04/01/2012,,,,,,
05/01/2012,,,,,,
06/01/2012,,,,,,
07/01/2012,,,,,,
08/01/2012,,,,,,
09/01/2012,,,,,,
10/01/2012,,,,,,
11/01/2012,,,,,,
12/01/2012,,,,,,
13/01/2012,,,,,,
14/01/2012,,,,,,
15/01/2012,,,,,,
16/01/2012,,,,,,
17/01/2012,,,,,,
18/01/2012,,,,,,
19/01/2012,,,,,,
20/01/2012,,,,,,
21/01/2012,,,,,,
22/01/2012,,,,,,
23/01/2012,,,,,,
24/01/2012,,,,,,
25/01/2012,,,,,,
26/01/2012,,,,,,
27/01/2012,,,,,,
28/01/2012,,,,,,
29/01/2012,,,,,,
30/01/2012,,,,,,
31/01/2012,,,,,,
01/02/2012,31.85,"1,440",,,,
02/02/2012,31.85,"1,440",,,,
03/02/2012,32.017,"2,160",,,,
04/02/2012,31.85,720,,,,
05/02/2012,32.14,"3,600",,,,
06/02/2012,,,,,,
07/02/2012,,,,,,
08/02/2012,,,,,,
09/02/2012,,,,,,
10/02/2012,,,,,,
11/02/2012,,,,,,
12/02/2012,,,,,,
13/02/2012,,,,,,
14/02/2012,,,,,,
15/02/2012,,,,,,
16/02/2012,,,,,,
17/02/2012,,,,,,
18/02/2012,,,,,,
19/02/2012,,,,,,
20/02/2012,,,,,,
21/02/2012,,,,,,
22/02/2012,,,,,,
23/02/2012,,,,,,
24/02/2012,31.5,300,,,,
25/02/2012,,,,,,
26/02/2012,30.7,"2,160",,,,
27/02/2012,,,,,,
28/02/2012,,,,,,
29/02/2012,,,,,,
01/03/2012,,,,,,
02/03/2012,,,,,,
03/03/2012,,,,,,
04/03/2012,,,,,,
05/03/2012,,,,,,
06/03/2012,,,,,,
07/03/2012,,,,,,
08/03/2012,,,,,,
09/03/2012,,,,,,
10/03/2012,,,,,,
11/03/2012,,,,,,
12/03/2012,,,,,,
13/03/2012,,,,,,
14/03/2012,,,,,,
15/03/2012,,,,,,
16/03/2012,,,,,,
17/03/2012,,,,,,
18/03/2012,28,"1,080",,,,
19/03/2012,,,,,,
20/03/2012,,,,,,
21/03/2012,,,,,,
22/03/2012,,,,,,
23/03/2012,,,,,,
24/03/2012,28.45,"1,440",,,,
25/03/2012,28.45,"1,440",,,,
26/03/2012,28.45,"1,440",,,,
27/03/2012,,,,,,
28/03/2012,,,,,,
29/03/2012,,,,,,
30/03/2012,,,,,,
31/03/2012,,,,,,
01/04/2012,,,,,,
02/04/2012,,,,,,
03/04/2012,,,,,,
04/04/2012,,,,,,
05/04/2012,,,,,,
06/04/2012,,,,,,
07/04/2012,,,,,,
08/04/2012,,,,,,
09/04/2012,,,,,,
10/04/2012,,,,,,
11/04/2012,,,,,,
12/04/2012,,,,,,
13/04/2012,,,,,,
14/04/2012,,,,,,
15/04/2012,,,,,,
16/04/2012,,,,,,
17/04/2012,,,,,,
18/04/2012,,,,,,
19/04/2012,,,,,,
20/04/2012,28.8,"2,160",,,,
21/04/2012,,,,,,
22/04/2012,,,,,,
23/04/2012,28.95,"6,960",,,,
24/04/2012,,,,,,
25/04/2012,29,"4,320",,,,
26/04/2012,,,,,,
27/04/2012,,,,,,
28/04/2012,,,,,,
29/04/2012,,,,,,
30/04/2012,,,,,,
