DAY,HOUR,PUN INDEX GME,AUST,BRNN,CNOR,COAC,CORS,CSUD,FOGN,FRAN,GREC,MFTV,NORD,PRGP,ROSN,SARD,SICI,SLOV,SUD,SVIZ
20090101,1,86.97,87.01,87.01,87.01,87.01,87.01,87.01,87.01,87.01,87.01,87.01,87.01,86.55,87.01,87.01,86.55,87.01,87.01,87.01
20090101,2,80.85,82.18,82.18,82.18,82.18,82.18,82.18,82.18,82.18,82.18,82.18,82.18,65.24,82.18,82.18,65.24,82.18,82.18,82.18
20090101,3,65.01,65.01,65.01,65.01,65.01,65.01,65.01,65.01,65.01,65.01,65.01,65.01,65.01,65.01,65.01,65.01,65.01,65.01,65.01
20090101,4,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36,42.36
20090101,5,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
20090101,6,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5
20090101,7,38.89,38,38,38,38,38,38,38,38,38,38,38,50,38,38,50,38,38,38
20090101,8,28.66,27,27,27,27,27,27,27,27,27,27,27,50,27,27,50,27,27,27
20090101,9,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1
20090101,10,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
20090101,11,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
20090101,12,75.77,70,70,70,70,70,70,70,70,70,70,70,140,70,70,140,70,70,70
20090101,13,70.01,70.01,70.01,70.01,70.01,70.01,70.01,70.01,70.01,70.01,70.01,70.01,70.01,70.01,70.01,70.01,70.01,70.01,70.01
20090101,14,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
20090101,15,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
20090101,16,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
20090101,17,70.02,70.02,70.02,70.02,70.02,70.02,70.02,70.02,70.02,70.02,70.02,70.02,70.02,70.02,70.02,70.02,70.02,70.02,70.02
20090101,18,91.29,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,87.75,135,87.75,87.75,135,87.75,87.75,87.75
20090101,19,93.36,90,90,90,90,90,90,90,90,90,90,90,135,90,90,135,90,90,90
20090101,20,90.7,89.53,89.53,89.53,89.53,89.53,89.53,89.53,89.53,89.53,89.53,89.53,105.23,89.53,89.53,105.23,89.53,89.53,89.53
20090101,21,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85,86.85
20090101,22,84.49,84.49,84.49,84.49,84.49,84.49,84.49,84.49,84.49,84.49,84.49,84.49,84.49,84.49,84.49,84.49,84.49,84.49,84.49
