DAY,HOUR,PUN INDEX GME,AUST,BSP,CALA,CNOR,COAC,CORS,CSUD,FRAN,GREC,MALT,MONT,NORD,SARD,SICI,SLOV,SUD,SVIZ,XAUS,XFRA,XGRE
20240101,1,107.09,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107.09
20240101,2,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
20240101,3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20240101,4,85.66,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,85.66
20240101,5,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
20240101,6,85.53,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,85.53
20240101,7,95.07,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95.07
20240101,8,104.07,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104.07
20240101,9,106.95,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,106.95
20240101,10,107.08,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107.08
20240101,11,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104
20240101,12,98.13,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98.13
20240101,13,101.55,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,101.55
20240101,14,98.16,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98.16
20240101,15,98.17,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98.17
20240101,16,105.54,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,105.54
20240101,17,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
20240101,18,120.04,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120.04
20240101,19,131.5,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,131.5
20240101,20,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132
20240101,21,127.75,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,127.75
20240101,22,113.48,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113.48
20240101,23,109.18,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109.18
20240101,24,107.2,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107.2
20240102,1,105.49,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105.49
20240102,2,90.09,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90.09
20240102,3,84.27,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84.27
20240102,4,84.27,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84.27
20240102,5,84.27,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84.27
20240102,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20240102,7,108.28,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108.28
20240102,8,113.85,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,114,113.85
