Date,Actual Generation,Primary Source
31/12/2023 23:00,3.46,Wind
31/12/2023 23:00,1.45,Self-consumption
31/12/2023 23:00,0,Photovoltaic
31/12/2023 23:00,0.63,Geothermal
31/12/2023 23:00,2.46,Hydro
31/12/2023 23:00,12.85,Thermal
31/12/2023 22:00,3.21,Wind
31/12/2023 22:00,13.58,Thermal
31/12/2023 22:00,0.63,Geothermal
31/12/2023 22:00,0,Photovoltaic
31/12/2023 22:00,1.6,Self-consumption
31/12/2023 22:00,2.72,Hydro
31/12/2023 21:00,14.87,Thermal
31/12/2023 21:00,0,Photovoltaic
31/12/2023 21:00,0.63,Geothermal
31/12/2023 21:00,3.2,Wind
31/12/2023 21:00,1.69,Self-consumption
31/12/2023 21:00,3.25,Hydro
31/12/2023 20:00,3.04,Wind
31/12/2023 20:00,1.7,Self-consumption
31/12/2023 20:00,0,Photovoltaic
31/12/2023 20:00,0.63,Geothermal
31/12/2023 20:00,15.86,Thermal
31/12/2023 20:00,4.73,Hydro
31/12/2023 19:00,15.96,Thermal
31/12/2023 19:00,2.59,Wind
31/12/2023 19:00,7.03,Hydro
31/12/2023 19:00,1.73,Self-consumption
31/12/2023 19:00,0,Photovoltaic
31/12/2023 19:00,0.63,Geothermal
31/12/2023 18:00,16.21,Thermal
31/12/2023 18:00,0.63,Geothermal
31/12/2023 18:00,0,Photovoltaic
31/12/2023 18:00,1.71,Self-consumption
31/12/2023 18:00,8.17,Hydro
31/12/2023 18:00,2.16,Wind
31/12/2023 17:00,1.87,Wind
31/12/2023 17:00,0.63,Geothermal
31/12/2023 17:00,7.51,Hydro
31/12/2023 17:00,1.63,Self-consumption
31/12/2023 17:00,0,Photovoltaic
31/12/2023 17:00,16.3,Thermal
31/12/2023 16:00,5.36,Hydro
31/12/2023 16:00,1.43,Self-consumption
31/12/2023 16:00,0.16,Photovoltaic
31/12/2023 16:00,0.63,Geothermal
31/12/2023 16:00,16.13,Thermal
31/12/2023 16:00,1.6,Wind
31/12/2023 15:00,1.16,Photovoltaic
31/12/2023 15:00,0.63,Geothermal
31/12/2023 15:00,15.04,Thermal
31/12/2023 15:00,1.44,Self-consumption
31/12/2023 15:00,4.06,Hydro
31/12/2023 15:00,1.62,Wind
31/12/2023 14:00,3.85,Hydro
31/12/2023 14:00,1.61,Self-consumption
31/12/2023 14:00,2.1,Photovoltaic
31/12/2023 14:00,0.63,Geothermal
31/12/2023 14:00,1.78,Wind
31/12/2023 14:00,13.93,Thermal
31/12/2023 13:00,0.63,Geothermal
31/12/2023 13:00,1.81,Self-consumption
31/12/2023 13:00,2.45,Photovoltaic
31/12/2023 13:00,3.77,Hydro
31/12/2023 13:00,1.64,Wind
31/12/2023 13:00,13.66,Thermal
31/12/2023 12:00,0.63,Geothermal
31/12/2023 12:00,1.95,Self-consumption
31/12/2023 12:00,2.77,Photovoltaic
31/12/2023 12:00,3.84,Hydro
31/12/2023 12:00,1.44,Wind
31/12/2023 12:00,14.05,Thermal
31/12/2023 11:00,0.63,Geothermal
31/12/2023 11:00,1.91,Self-consumption
31/12/2023 11:00,2.68,Photovoltaic
31/12/2023 11:00,3.67,Hydro
31/12/2023 11:00,1.3,Wind
31/12/2023 11:00,13.62,Thermal
31/12/2023 10:00,13.81,Thermal
31/12/2023 10:00,0.63,Geothermal
31/12/2023 10:00,0.98,Wind
31/12/2023 10:00,2.61,Photovoltaic
31/12/2023 10:00,3.42,Hydro
31/12/2023 10:00,1.72,Self-consumption
31/12/2023 09:00,0.63,Geothermal
31/12/2023 09:00,1.47,Self-consumption
31/12/2023 09:00,1.87,Photovoltaic
31/12/2023 09:00,3.3,Hydro
31/12/2023 09:00,0.9,Wind
31/12/2023 09:00,13.53,Thermal
31/12/2023 08:00,0.63,Geothermal
31/12/2023 08:00,1.15,Self-consumption
31/12/2023 08:00,0.59,Photovoltaic
31/12/2023 08:00,3.21,Hydro
31/12/2023 08:00,0.77,Wind
31/12/2023 08:00,12.91,Thermal
31/12/2023 07:00,0.63,Geothermal
31/12/2023 07:00,1.11,Self-consumption
31/12/2023 07:00,0.03,Photovoltaic
31/12/2023 07:00,2.74,Hydro
31/12/2023 07:00,0.56,Wind
31/12/2023 07:00,12.55,Thermal
31/12/2023 06:00,0.63,Geothermal
31/12/2023 06:00,1.12,Self-consumption
31/12/2023 06:00,0,Photovoltaic
31/12/2023 06:00,2.26,Hydro
31/12/2023 06:00,0.37,Wind
31/12/2023 06:00,11.89,Thermal
31/12/2023 05:00,0.63,Geothermal
31/12/2023 05:00,1.09,Self-consumption
31/12/2023 05:00,0,Photovoltaic
31/12/2023 05:00,2.26,Hydro
31/12/2023 05:00,0.31,Wind
31/12/2023 05:00,10.55,Thermal
31/12/2023 04:00,0.63,Geothermal
31/12/2023 04:00,1.09,Self-consumption
31/12/2023 04:00,0,Photovoltaic
31/12/2023 04:00,2.19,Hydro
31/12/2023 04:00,0.34,Wind
31/12/2023 04:00,10.28,Thermal
31/12/2023 03:00,0.63,Geothermal
31/12/2023 03:00,1.2,Self-consumption
31/12/2023 03:00,0,Photovoltaic
31/12/2023 03:00,2.16,Hydro
31/12/2023 03:00,0.28,Wind
31/12/2023 03:00,10.38,Thermal
31/12/2023 02:00,0.63,Geothermal
31/12/2023 02:00,1.27,Self-consumption
31/12/2023 02:00,0,Photovoltaic
31/12/2023 02:00,2.13,Hydro
31/12/2023 02:00,0.23,Wind
31/12/2023 02:00,10.9,Thermal
31/12/2023 01:00,0.63,Geothermal
31/12/2023 01:00,1.38,Self-consumption
31/12/2023 01:00,0,Photovoltaic
31/12/2023 01:00,2.32,Hydro
31/12/2023 01:00,0.26,Wind
31/12/2023 01:00,12.08,Thermal
31/12/2023 00:00,0.63,Geothermal
31/12/2023 00:00,1.46,Self-consumption
31/12/2023 00:00,0,Photovoltaic
31/12/2023 00:00,2.81,Hydro
31/12/2023 00:00,0.29,Wind
31/12/2023 00:00,13.25,Thermal
30/12/2023 23:00,0.28,Wind
30/12/2023 23:00,1.98,Self-consumption
30/12/2023 23:00,0,Photovoltaic
30/12/2023 23:00,0.63,Geothermal
30/12/2023 23:00,3.23,Hydro
30/12/2023 23:00,14.66,Thermal
30/12/2023 22:00,0.23,Wind
30/12/2023 22:00,16.57,Thermal
30/12/2023 22:00,0.63,Geothermal
30/12/2023 22:00,0,Photovoltaic
30/12/2023 22:00,2.09,Self-consumption
30/12/2023 22:00,4.05,Hydro
30/12/2023 21:00,17.56,Thermal
30/12/2023 21:00,0,Photovoltaic
30/12/2023 21:00,0.63,Geothermal
30/12/2023 21:00,0.19,Wind
30/12/2023 21:00,2.21,Self-consumption
30/12/2023 21:00,4.64,Hydro
30/12/2023 20:00,0.14,Wind
30/12/2023 20:00,2.43,Self-consumption
30/12/2023 20:00,0,Photovoltaic
30/12/2023 20:00,0.63,Geothermal
30/12/2023 20:00,18.72,Thermal
30/12/2023 20:00,5.1,Hydro
30/12/2023 19:00,18.81,Thermal
30/12/2023 19:00,0.08,Wind
30/12/2023 19:00,6.71,Hydro
30/12/2023 19:00,2.61,Self-consumption
30/12/2023 19:00,0,Photovoltaic
30/12/2023 19:00,0.63,Geothermal
30/12/2023 18:00,18.72,Thermal
30/12/2023 18:00,0.63,Geothermal
30/12/2023 18:00,0,Photovoltaic
30/12/2023 18:00,2.65,Self-consumption
30/12/2023 18:00,6.7,Hydro
30/12/2023 18:00,0.09,Wind
30/12/2023 17:00,0.14,Wind
30/12/2023 17:00,0.63,Geothermal
30/12/2023 17:00,5.64,Hydro
30/12/2023 17:00,2.57,Self-consumption
30/12/2023 17:00,0,Photovoltaic
30/12/2023 17:00,18.56,Thermal
30/12/2023 16:00,3.59,Hydro
30/12/2023 16:00,2.46,Self-consumption
30/12/2023 16:00,0.13,Photovoltaic
30/12/2023 16:00,0.63,Geothermal
30/12/2023 16:00,18.07,Thermal
30/12/2023 16:00,0.19,Wind
30/12/2023 15:00,1.01,Photovoltaic
30/12/2023 15:00,0.63,Geothermal
30/12/2023 15:00,16.33,Thermal
30/12/2023 15:00,2.63,Self-consumption
30/12/2023 15:00,2.93,Hydro
30/12/2023 15:00,0.24,Wind
30/12/2023 14:00,2.87,Hydro
30/12/2023 14:00,2.74,Self-consumption
30/12/2023 14:00,2.14,Photovoltaic
30/12/2023 14:00,0.63,Geothermal
30/12/2023 14:00,0.3,Wind
30/12/2023 14:00,15.28,Thermal
30/12/2023 13:00,0.63,Geothermal
30/12/2023 13:00,2.84,Self-consumption
30/12/2023 13:00,3.08,Photovoltaic
30/12/2023 13:00,2.28,Hydro
30/12/2023 13:00,0.37,Wind
30/12/2023 13:00,14.11,Thermal
30/12/2023 12:00,0.63,Geothermal
30/12/2023 12:00,2.76,Self-consumption
30/12/2023 12:00,3.21,Photovoltaic
30/12/2023 12:00,2.25,Hydro
30/12/2023 12:00,0.33,Wind
30/12/2023 12:00,13.82,Thermal
30/12/2023 11:00,0.63,Geothermal
30/12/2023 11:00,2.54,Self-consumption
30/12/2023 11:00,2.85,Photovoltaic
30/12/2023 11:00,2.26,Hydro
30/12/2023 11:00,0.28,Wind
30/12/2023 11:00,13.3,Thermal
30/12/2023 10:00,13.77,Thermal
30/12/2023 10:00,0.63,Geothermal
30/12/2023 10:00,0.3,Wind
30/12/2023 10:00,2.2,Photovoltaic
30/12/2023 10:00,2.49,Hydro
30/12/2023 10:00,2.43,Self-consumption
30/12/2023 09:00,0.63,Geothermal
30/12/2023 09:00,2.21,Self-consumption
30/12/2023 09:00,1.61,Photovoltaic
