Date,Actual Generation,Primary Source
28/02/2026 23:45,2.84,Hydro
28/02/2026 23:45,1.75,Self-consumption
28/02/2026 23:45,0,Photovoltaic
28/02/2026 23:45,0.6,Geothermal
28/02/2026 23:45,0.24,Wind
28/02/2026 23:45,13.16,Thermal
28/02/2026 23:30,2.8,Hydro
28/02/2026 23:30,1.96,Self-consumption
28/02/2026 23:30,0,Photovoltaic
28/02/2026 23:30,0.6,Geothermal
28/02/2026 23:30,0.24,Wind
28/02/2026 23:30,13.6,Thermal
28/02/2026 23:15,2.8,Hydro
28/02/2026 23:15,13.84,Thermal
28/02/2026 23:15,0.24,Wind
28/02/2026 23:15,0.6,Geothermal
28/02/2026 23:15,0,Photovoltaic
28/02/2026 23:15,1.94,Self-consumption
28/02/2026 23:00,0.24,Wind
28/02/2026 23:00,2.84,Hydro
28/02/2026 23:00,0.6,Geothermal
28/02/2026 23:00,14.24,Thermal
28/02/2026 23:00,0,Photovoltaic
28/02/2026 23:00,1.9,Self-consumption
28/02/2026 22:45,3.36,Hydro
28/02/2026 22:45,1.82,Self-consumption
28/02/2026 22:45,0,Photovoltaic
28/02/2026 22:45,0.6,Geothermal
28/02/2026 22:45,0.24,Wind
28/02/2026 22:45,13.76,Thermal
28/02/2026 22:30,3.4,Hydro
28/02/2026 22:30,1.87,Self-consumption
28/02/2026 22:30,0,Photovoltaic
28/02/2026 22:30,0.6,Geothermal
28/02/2026 22:30,0.2,Wind
28/02/2026 22:30,14.4,Thermal
28/02/2026 22:15,0.2,Wind
28/02/2026 22:15,3.4,Hydro
28/02/2026 22:15,0.6,Geothermal
28/02/2026 22:15,14.64,Thermal
28/02/2026 22:15,0,Photovoltaic
28/02/2026 22:15,1.9,Self-consumption
28/02/2026 22:00,3.6,Hydro
28/02/2026 22:00,15.08,Thermal
28/02/2026 22:00,0.2,Wind
28/02/2026 22:00,0.6,Geothermal
28/02/2026 22:00,0,Photovoltaic
28/02/2026 22:00,2.02,Self-consumption
28/02/2026 21:45,0.2,Wind
28/02/2026 21:45,2.06,Self-consumption
28/02/2026 21:45,0,Photovoltaic
28/02/2026 21:45,0.6,Geothermal
28/02/2026 21:45,4.04,Hydro
28/02/2026 21:45,15.64,Thermal
28/02/2026 21:30,0,Photovoltaic
28/02/2026 21:30,0.2,Wind
28/02/2026 21:30,2.24,Self-consumption
28/02/2026 21:30,16,Thermal
28/02/2026 21:30,4.2,Hydro
28/02/2026 21:30,0.6,Geothermal
28/02/2026 21:15,16.2,Thermal
28/02/2026 21:15,0,Photovoltaic
28/02/2026 21:15,0.6,Geothermal
28/02/2026 21:15,0.2,Wind
28/02/2026 21:15,2.34,Self-consumption
28/02/2026 21:15,4.48,Hydro
28/02/2026 21:00,16.16,Thermal
28/02/2026 21:00,0.2,Wind
28/02/2026 21:00,4.76,Hydro
28/02/2026 21:00,2.36,Self-consumption
28/02/2026 21:00,0,Photovoltaic
28/02/2026 21:00,0.6,Geothermal
28/02/2026 20:45,5.32,Hydro
28/02/2026 20:45,2.32,Self-consumption
28/02/2026 20:45,0,Photovoltaic
28/02/2026 20:45,0.6,Geothermal
28/02/2026 20:45,0.2,Wind
28/02/2026 20:45,16.52,Thermal
28/02/2026 20:30,5.32,Hydro
28/02/2026 20:30,2.43,Self-consumption
28/02/2026 20:30,0,Photovoltaic
28/02/2026 20:30,0.6,Geothermal
28/02/2026 20:30,0.2,Wind
28/02/2026 20:30,16.8,Thermal
28/02/2026 20:15,6.24,Hydro
28/02/2026 20:15,16.64,Thermal
28/02/2026 20:15,0.2,Wind
28/02/2026 20:15,0.6,Geothermal
28/02/2026 20:15,0,Photovoltaic
28/02/2026 20:15,2.5,Self-consumption
28/02/2026 20:00,6.88,Hydro
